"","province","district","variable","value"
"7897","Takêv","Kaoh Andaet","NL_VIIRS.M_201512_SUM",17.329999756068
"7898","Kaôh Kong","Kaoh Kong","NL_VIIRS.M_201512_SUM",60.1200000345707
"7899","Môndól Kiri","Kaoh Nheaek","NL_VIIRS.M_201512_SUM",817.199999531731
"7900","Kâmpóng Cham","Kaoh Soutin","NL_VIIRS.M_201512_SUM",6.11999993585051
"7901","Kândal","Kaoh Thum","NL_VIIRS.M_201512_SUM",140.089999636635
"7902","Kândal","Khsach Kandal","NL_VIIRS.M_201512_SUM",465.489999104291
"7903","Kândal","Kien Svay","NL_VIIRS.M_201512_SUM",835.620000218972
"7904","Kaôh Kong","Kiri Sakor","NL_VIIRS.M_201512_SUM",39.34999955073
"7905","Takêv","Kiri Vong","NL_VIIRS.M_201512_SUM",36.3999997507781
"7906","Kâmpóng Spœ","Kong Pisei","NL_VIIRS.M_201512_SUM",172.809999912977
"7907","Rôtânôkiri","Koun Mom","NL_VIIRS.M_201512_SUM",53.979999827221
"7908","Krâchéh","Kracheh","NL_VIIRS.M_201512_SUM",160.049999302253
"7909","Pouthisat","Krakor","NL_VIIRS.M_201512_SUM",134.839999338612
"7910","Siemréab","Kralanh","NL_VIIRS.M_201512_SUM",35.3799998275935
"7911","Tbong Khmum","Krouch Chhmar","NL_VIIRS.M_201512_SUM",16.7299998197704
"7912","Preah Vihéar","Kuleaen","NL_VIIRS.M_201512_SUM",18.7399996761233
"7913","Kândal","Leuk Daek","NL_VIIRS.M_201512_SUM",58.9699998106807
"7914","Rôtânôkiri","Lumphat","NL_VIIRS.M_201512_SUM",46.6799997128547
"7915","Kândal","Lvea Aem","NL_VIIRS.M_201512_SUM",267.420000324026
"7916","Bântéay Méanchey","Malai","NL_VIIRS.M_201512_SUM",56.5899997446686
"7917","Prey Vêng","Me Sang","NL_VIIRS.M_201512_SUM",9.22999986633658
"7918","Phnom Penh","Mean Chey","NL_VIIRS.M_201512_SUM",1865.0600053668
"7919","Tbong Khmum","Memot","NL_VIIRS.M_201512_SUM",104.05999959819
"7920","Krong Preah Sihanouk","Mittakpheap","NL_VIIRS.M_201512_SUM",1086.54999424145
"7921","Kaôh Kong","Mondol Seima","NL_VIIRS.M_201512_SUM",295.220000466332
"7922","Bântéay Méanchey","Mongkol Borei","NL_VIIRS.M_201512_SUM",75.6999994944781
"7923","BatdÃ¢mbÃ¢ng","Moung Ruessei","NL_VIIRS.M_201512_SUM",187.829998411238
"7924","Kândal","Mukh Kampul","NL_VIIRS.M_201512_SUM",396.550002338364
"7925","Kâmpóng Spœ","Odongk","NL_VIIRS.M_201512_SUM",152.789999241009
"7926","Bântéay Méanchey","Ou Chrov","NL_VIIRS.M_201512_SUM",681.740002697334
"7927","Rôtânôkiri","Ou Chum","NL_VIIRS.M_201512_SUM",12.2499998807907
"7928","Môndól Kiri","Ou Reang","NL_VIIRS.M_201512_SUM",17.5499997437
"7929","Tbong Khmum","Ou Reang Ov","NL_VIIRS.M_201512_SUM",29.6099997479468
"7930","Rôtânôkiri","Ou Ya Dav","NL_VIIRS.M_201512_SUM",30.8599995840341
"7931","Krong Pailin","Pailin","NL_VIIRS.M_201512_SUM",87.639999423176
"7932","Prey Vêng","Pea Reang","NL_VIIRS.M_201512_SUM",60.6399995926768
"7933","Prey Vêng","Peam Chor","NL_VIIRS.M_201512_SUM",34.7499996293336
"7934","Prey Vêng","Peam Ro","NL_VIIRS.M_201512_SUM",61.8999996334315
"7935","Môndól Kiri","Pechr Chenda","NL_VIIRS.M_201512_SUM",96.9499995037913
"7936","Phnom Penh","Phnom Penh","NL_VIIRS.M_201512_SUM",3928.26001358032
"7937","Pouthisat","Phnum Kravanh","NL_VIIRS.M_201512_SUM",133.339998392388
"7938","BatdÃ¢mbÃ¢ng","Phnum Proek","NL_VIIRS.M_201512_SUM",222.439999550581
"7939","Bântéay Méanchey","Phnum Srok","NL_VIIRS.M_201512_SUM",15.4899998158217
"7940","Kâmpóng Spœ","Phnum Sruoch","NL_VIIRS.M_201512_SUM",168.639998946339
"7941","Tbong Khmum","Ponhea Kraek","NL_VIIRS.M_201512_SUM",149.329999089241
"7942","Kândal","Ponhea Lueu","NL_VIIRS.M_201512_SUM",333.2899999246
"7943","Siemréab","Prasat Bakong","NL_VIIRS.M_201512_SUM",111.519999805838
"7944","Kâmpóng Thum","Prasat Balangk","NL_VIIRS.M_201512_SUM",10.1799997985363
"7945","Kâmpóng Thum","Prasat Sambour","NL_VIIRS.M_201512_SUM",33.4399995300919
"7946","Krâchéh","Preaek Prasab","NL_VIIRS.M_201512_SUM",29.6799998600036
"7947","Bântéay Méanchey","Preah Netr Preah","NL_VIIRS.M_201512_SUM",43.1499997209757
"7948","Prey Vêng","Preah Sdach","NL_VIIRS.M_201512_SUM",46.96999970451
"7949","Kâmpóng Cham","Prey Chhor","NL_VIIRS.M_201512_SUM",61.3599998261779
"7950","Takêv","Prey Kabbas","NL_VIIRS.M_201512_SUM",21.7899998370558
"7951","Krong Preah Sihanouk","Prey Nob","NL_VIIRS.M_201512_SUM",272.419998662547
"7952","Prey Vêng","Prey Veaeng","NL_VIIRS.M_201512_SUM",44.6599997356534
"7953","Siemréab","Puok","NL_VIIRS.M_201512_SUM",593.769998010249
"7954","Kâmpóng Chhnang","Rolea B'ier","NL_VIIRS.M_201512_SUM",67.8099997434764
"7955","Svay Rieng","Romeas Haek","NL_VIIRS.M_201512_SUM",25.2399996705353
"7956","BatdÃ¢mbÃ¢ng","Rotanak Mondol","NL_VIIRS.M_201512_SUM",80.8599996771664
"7957","Preah Vihéar","Rovieng","NL_VIIRS.M_201512_SUM",149.619999326766
"7958","Phnom Penh","Ruessei Kaev","NL_VIIRS.M_201512_SUM",3420.98999595642
"7959","Svay Rieng","Rumduol","NL_VIIRS.M_201512_SUM",12.1399999074638
"7960","Kândal","S'ang","NL_VIIRS.M_201512_SUM",288.400000207126
