"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"165","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.4_1","Khsach Kandal",NA,NA,"Srok","District",NA,"KH.KN.KK"
"166","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.5_1","Kien Svay",NA,NA,"Srok","District",NA,"KH.KN.KS"
"167","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.6_1","Leuk Daek",NA,NA,"Srok","District",NA,"KH.KN.LD"
"168","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.7_1","Lvea Aem",NA,NA,"Srok","District",NA,"KH.KN.LA"
"169","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.8_1","Mukh Kampul",NA,NA,"Srok","District",NA,"KH.KN.MK"
"170","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.9_1","Ponhea Lueu",NA,NA,"Srok","District",NA,"KH.KN.PL"
"161","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.10_1","S'ang",NA,NA,"Srok","District",NA,"KH.KN.SA"
"162","KHM","Cambodia","KHM.8_1","Kândal",NA,"KHM.8.11_1","Ta Khmau",NA,NA,"Srok","District",NA,"KH.KN.TK"
"171","KHM","Cambodia","KHM.9_1","Kaôh Kong",NA,"KHM.9.1_1","Botum Sakor",NA,NA,"Srok","District",NA,"KH.KK.BS"
"172","KHM","Cambodia","KHM.9_1","Kaôh Kong",NA,"KHM.9.2_1","Kampong Seila",NA,NA,"Srok","District",NA,"KH.KK.KP"
"173","KHM","Cambodia","KHM.9_1","Kaôh Kong",NA,"KHM.9.3_1","Kaoh Kong",NA,NA,"Srok","District",NA,"KH.KK.KK"
"174","KHM","Cambodia","KHM.9_1","Kaôh Kong",NA,"KHM.9.4_1","Kiri Sakor",NA,NA,"Srok","District",NA,"KH.KK.KS"
